Video,Type,Vid_num,Global,Action,Interaction
P01,int,365,People are walking around in the mart.,I am turning right and walking forward.,
P01,int,366,The man is giving me a case of glasses.,I am getting a case of glasses from a man.,We are walking forward together exchanging goods.
P01,int,367,A man next to me is saying something to me.,I am walking around the mart.,We are walking forward and talking together.
P01,int,368,A man next to me is saying something to me.,I am walking around the mart.,We are walking forward and talking together.
P01,int,369,People are walking around in the mart.,I am turning my head left and right.,
P01,int,370,My friend is telling me something by watching the CD.,I am entering the CD store.,We are shopping for CDs together.
P01,int,371,A man is explaining something to me next to me.,I am shopping for a game CD.,We are talking over CDs together.
P01,int,372,A man is telling me something.,I am listening to him as I see him pointing.,We are looking at something together.
P01,int,373,A man is saying something to me by his side.,I am watching game CDs.,We are talking over CDs together.
P01,int,374,A man is saying something to me by his side.,I am watching game CDs.,We are talking over CDs together.
P02,int,1,There is a man in the room.,I use smart phone.,Me and my friend have a conversation.
P02,int,2,There is a woman who is cashier in the mart.,I am calculating what I bought.,Clerk gives me a card.
P02,int,3,There is a man in the kitchen,I am looking around the kitchen.,I am talking with my friend.
P02,int,4,"There is a IPAD on the kitchen table, and a mixture beside it.",I am pouring the sauce in the basket and make new mixture.,My friend is helping me mixing the food..
P02,int,5,There are IPAD and some bowls on the kitchen table.,I am picking up the bowl.,My friend is helping me mixing the food..
P02,int,6,The iPad is on the kitchen table with turned on.,I am putting my hands in a container containing flour.,I am cooking with a man.
P02,int,7,"There is a IPAD on the kitchen table, and a mixture beside it.",I am using IPAD to search recipe.,My friend is helping me cooking.
P02,int,8,The view of the dormitory is being showed.,I pick up the cookies and give it to someone.,I give cookies to my friend.
P02,int,9,There is a man who is holding a dish with a cookie.,I am watching some man.,We are having a conversation.
P02,int,10,There are many cookies on the kitchen table in the dorm.,I point to something.,My friend is asking me something and I point it.
P02,int,11,There is a man who is washing dishes in the kitchen.,I lift and use the cell phone on the kitchen table.,We are having a conversation.
P02,int,12,The view of the dormitory is being showed.,I am walking around in the dorm.,my friend is passing me something.
P02,int,13,There are some dishes of food on the table.,I am arranging food and spoon chopsticks on the table.,We prepare for dinner.
P02,int,14,There is a woman who is eat dinner.,I am eating dinner.,We are having dinner.
P02,int,15,A woman is telling something while she eat.,I am eating food.,We are having a conversation.
P02,int,1,There is a man and someone is holding cell phone.,I am using cell phone.,We are having a conversation.
P02,int,2,The clerk standing at the counter gives me something.,I stand at the counter.,We exchange something with each other.
P02,int,3,My friend is doing something in the kitchen.,I turn my head and a man is staring at me.,We are telling each other something.
P02,int,4,Someone in the kitchen is giving me a bowl.,I have a bowl in both hands.,I am getting the bowl he is giving.
P02,int,5,Someone is using a hand mixer in the kitchen.,I am pouring flour into a bowl.,I am cooking with a man.
P02,int,6,The iPad is on the kitchen table with turned on.,I am putting my hands in a container containing flour.,I am cooking with a man.
P02,int,7,A person uses a spoon to make dough.,I touch something on the iPad.,I cook with someone.
P02,int,8,A man is using a computer in his room.,I am putting cookies in a bowl and taking them to the room.,I am passing the cookie to the man.
P02,int,9,My friend is telling me something.,I am listening to him.,We are talking to each other and talking.
P02,int,10,He takes something from the living room.,I tell him something.,We talk together.
P02,int,11,A man is doing something in the kitchen.,I am using a smartphone.,We are talking.
P02,int,12,There is food on the living room table.,I am seeing a woman going to the kitchen.,She is giving me something.
P02,int,13,My friend is putting the stew on the table.,I am setting a spoon and chopsticks.,We are talking.
P02,int,14,She is eating and saying something.,I use chopsticks to pick up steam.,We are eating together.
P02,int,15,She is telling me something.,I am listening to her.,We are eating together.
P04,int,1,A clerk is counting the chocolate in the mart.,I am paying some money.,The clerk is counting the things I buy.
P04,int,2,There is a woman who is handing something over.,I am receiving something.,a woman is handing me something.
P04,int,1,A woman sells chocolate and water in a mat calculation.,I am buying chocolate and water.,We are talking to each other.
P04,int,2,Mart employee is  giving me receipts and change money.,I am receiving receipts and change money.,She is giving me receipts and change money.
P02,noint,1,There are many things on my desk.,I am holding smart phone.,<none>
P02,noint,2,There are things on the kitchen table.,I go past the door to the kitchen.,<none>
P02,noint,3,There are many things on the table.,I am looking at the table.,<none>
P02,noint,4,There are many things on the kitchen table.,I am wandering around.,<none>
P02,noint,5,There is a handbag on the table.,I am putting something in my handbag.,<none>
P02,noint,6,There are many things on the kitchen table.,I open my handbag.,<none>
P02,noint,7,There are many things on the kitchen table.,I turn my head to the right.,<none>
P02,noint,8,There are shoes in the shoe closet.,I am looking for shoes.,<none>
P02,noint,9,There are shoes in the shoe closet.,I am looking at the shoes.,<none>
P02,noint,10,The door is closed.,I am holding the doorknob.,<none>
P02,noint,11,My figure is reflected in the mirror.,I am putting my clothes in order in the mirror.,<none>
P02,noint,12,The opening of the door is reflected in the mirror.,I am opening the door.,<none>
P02,noint,13,There is no one in the hall.,I am locking the door with a key.,<none>
P02,noint,14,The sun is shining through the window.,I am walking down the corridor to the window.,<none>
P02,noint,15,There are buildings outside.,I am looking out through the window.,<none>
P02,noint,16,The elevator is closed.,I am waiting for the elevator.,<none>
P02,noint,17,The elevator door is opening.,I enter the elevator and press the button.,<none>
P02,noint,18,The surroundings are dark.,I am looking at a smartphone.,<none>
P02,noint,19,The elevator door is opening.,I am watching the elevator door open.,<none>
P02,noint,20,Cars are parked in the parking lot.,I am opening the door and going out to the parking lot.,<none>
P02,noint,21,Cars are parked in the parking lot.,I am walking around the parking lot.,<none>
P02,noint,22,The door is closed.,I am walking to the door.,<none>
P02,noint,23,The elevator door is opening.,I am pressing the elevator button.,<none>
P02,noint,24,The door is closed.,I am opening the door.,<none>
P02,noint,25,Several cars are parked.,I am walking around the parking lot.,<none>
P02,noint,26,Several cars are parked.,I am walking forward looking at my smartphone.,<none>
P02,noint,27,Pumpkins are displayed in front of the entrance to the mart.,I am walking to the mart.,<none>
P02,noint,28,The automatic door of the mart is opening.,I am going into the mart.,<none>
P02,noint,29,Shopping baskets are arranged in the mart.,I am holding a shopping basket.,<none>
P02,noint,30,There are many products on display in the mart.,I am walking forward with my head up.,<none>
P02,noint,31,A woman is pulling a shopping card at the mart.,I am holding a memo in my hand.,<none>
P02,noint,32,Various goods are displayed in the mart.,I am shopping.,<none>
P02,noint,33,Various goods are displayed in the mart.,I am shopping.,<none>
P02,noint,34,Various goods are displayed in the mart.,I am shopping.,<none>
P02,noint,35,Various goods are displayed in the mart.,I am looking at a chocolate product.,<none>
P02,noint,36,Various goods are displayed in the mart.,I am comparing the goods I am carrying with the ones on display.,<none>
P02,noint,37,There is something written on the memo.,I am looking at a memo.,<none>
P02,noint,38,There are goods and price tags on the display stand.,I am comparing the two products.,<none>
P02,noint,39,Various goods are displayed in the mart.,I am reading the product manual.,<none>
P02,noint,40,Various goods are displayed in the mart.,I am looking at a memo.,<none>
P02,noint,41,Various goods are displayed in the mart.,I am looking for something in the display case.,<none>
P02,noint,42,Various goods are displayed in the mart.,I am looking at a memo.,<none>
P02,noint,43,Various goods are displayed in the mart.,I am shopping.,<none>
P02,noint,44,There are cookies on display in the mart.,I am shopping for cookies.,<none>
P02,noint,45,There are cookies on display in the mart.,I am reading the product manual with cookies.,<none>
P02,noint,46,There are cookies on display in the mart.,I lift cookies and look at the product manual.,<none>
P02,noint,47,Items are displayed on the display stand.,I touch the product with my hands.,<none>
P02,noint,48,Items are displayed on the display stand.,I am bringing the product and touching it.,<none>
P02,noint,49,Items are on display on the supermarket shelf.,I am shopping.,<none>
P02,noint,50,There are some products in the shopping basket.,I am putting a bag of cookies in the shopping basket.,<none>
P02,noint,51,Items are on display on the supermarket shelf.,I am looking for something by looking at the memo.,<none>
P02,noint,52,Items are on display on the supermarket shelf.,I a m turning left checking my memo.,<none>
P02,noint,53,Various groceries are displayed on the supermarket shelf.,I am walking and stopping to look at the product.,<none>
P02,noint,54,Food items are displayed on the supermarket shelf.,I am holding the product and looking at the product manual.,<none>
P02,noint,55,Various goods are displayed in the mart.,I am looking at the products.,<none>
P02,noint,56,Various flour products are on the supermarket shelf.,I touch the flour products and look around the other products.,<none>
P02,noint,57,Various flour products are on the supermarket shelf.,I am looking around for flour products.,<none>
P02,noint,58,Various flour products are on the supermarket shelf.,I am picking up the flour products and checking them out.,<none>
P02,noint,59,There are some products in the shopping basket.,I am putting the product in the shopping basket.,<none>
P02,noint,60,Various products are on display on the supermarket shelf.,I am walking around the products.,<none>
P02,noint,61,Various products are on display on the supermarket shelf.,I am touching my head with my hands.,<none>
P02,noint,62,Various products are on display on the supermarket shelf.,I am looking at the product with my hands.,<none>
P02,noint,63,Items are on display on the market shelf.,I am comparing the two products with my hands.,<none>
P02,noint,64,Kitchen goods are displayed on the display.,I am shopping for kitchenware.,<none>
P02,noint,65,Items are on display on the supermarket shelf.,I am looking at other products with one.,<none>
P02,noint,66,There is a price tag on the display stand.,I am checking the product and price.,<none>
P02,noint,67,Items are on display on the mart shelf.,I am moving the position of the product.,<none>
P02,noint,68,Beverages are displayed on the supermarket shelf.,I am looking at the drinks.,<none>
P02,noint,69,Items are on display on the market shelf.,I am checking the instructions one by one.,<none>
P02,noint,70,Items are on display on the market shelf.,I have a product in my hand.,<none>
P02,noint,71,Items are on display on the market shelf.,I am checking the instructions one by one.,<none>
P02,noint,72,There is a price tag on the display stand.,I am checking the product in detail by opening the package.,<none>
P02,noint,73,There are price tags attached to the display stand.,I am checking my memo.,<none>
P02,noint,74,Various products are displayed on the display stand.,I am shopping.,<none>
P02,noint,75,People are shopping at the mart.,I am walking forward looking at the memo.,<none>
P02,noint,76,Various kinds of snacks are displayed on the display stand.,I am picking up some cookies and putting them in my shopping basket.,<none>
P02,noint,77,Various kinds of snacks are displayed on the display stand.,I am walking and looking at the snacks.,<none>
P02,noint,78,The cookies are on display on the shelf.,I am shopping for cookies.,<none>
P02,noint,79,The cookies are on display on the shelf.,I am looking at the product's instructions with cookies.,<none>
P02,noint,80,Products are on display on the supermarket shelf.,I am walking forward looking at the memo.,<none>
P02,noint,81,Various kinds of goods are displayed on the display stand.,I am walking forward.,<none>
P02,noint,82,Eggs are displayed on the refrigerator shelf.,I am looking at an egg.,<none>
P02,noint,83,Eggs are displayed on the refrigerator shelf.,I am picking up an egg package and looking carefully.,<none>
P02,noint,84,A shopping basket is on the floor.,I am picking up a drink and putting it in the shopping basket.,<none>
P02,noint,85,The drinks are arranged in a mart refrigerator.,I am shopping for drinks.,<none>
P02,noint,86,Beverages are on display in the mart refrigerator.,I am picking up a drink and looking at it carefully.,<none>
P02,noint,87,A man is passing by me.,I am walking along looking at my notebook.,<none>
P02,noint,88,My shopping basket is on the floor of the mart.,I am looking at the floor with my head down.,<none>
P02,noint,89,Various goods are on display in the mart.,I am walking around.,<none>
P02,noint,90,The woman is buying something at the counter.,I am looking for something in my handbag.,<none>
P02,noint,91,The magazines are on display in front of me.,I am putting the products on the counter.,<none>
P02,noint,92,There is a shopping cart in front of me.,I am checking my memo.,<none>
P02,noint,93,There are marts on the counter.,I am waiting for my turn at the counter.,<none>
P02,noint,94,There are magazines on display in front of me.,I am looking at the magazines on display.,<none>
P02,noint,95,There are marts on the counter.,I am waiting for a purchase .,<none>
P02,noint,96,There is a shopping cart in front of me.,I am waiting for a purchase .,<none>
P02,noint,97,There are marts on the counter.,I am taking a step in front of the counter.,<none>
P02,noint,98,There is an advertisement on the partition.,I am turning my head and looking at the partition.,<none>
P02,noint,99,A notice is attached to the counter.,I am looking at the information on the counter.,<none>
P02,noint,100,The mart clerk is picking out a receipt.,I am waiting for the order of calculation.,<none>
P02,noint,101,A mart employee is barcoding a product.,I am watching a woman barcoding a product.,<none>
P02,noint,102,There is a card calculator in front of me.,I am signing on the card calculator.,<none>
P02,noint,103,A man is putting an egg package in a shopping bag.,I am watching a man putting an egg package in a shopping bag.,<none>
P02,noint,104,A man is walking across the shopping cart.,I am walking forward.,<none>
P02,noint,105,The mart is opening.,I am passing through the automatic door and going out of the building.,<none>
P02,noint,106,Many cars are parked in the parking lot.,I am walking forward through the parking lot.,<none>
P02,noint,107,The sun is shining through the living room window.,I am putting a soda bottle on the table.,<none>
P02,noint,108,The house door is closed.,I am turning to lock the door.,<none>
P02,noint,109,A man is using a computer in my room.,I am walking into my room and hanging up my hat.,<none>
P02,noint,110,There is a handbag on the desk.,I am taking my smartphone out of my handbag.,<none>
P02,noint,111,A man is sitting in my room using a computer.,I am walking to the man who is playing computer.,<none>
P02,noint,112,The computer on the desk is on.,I am looking at the computer monitor.,<none>
P02,noint,113,There is a shopping bag on the kitchen floor.,I am leaving my room and going to the kitchen.,<none>
P02,noint,114,The refrigerator is full of drinks.,I am putting some drinks in the fridge.,<none>
P02,noint,115,There is a shopping bag on the kitchen floor.,I am taking something out of the shopping bag.,<none>
P02,noint,116,The kitchen light is on.,I am turning on the light switch.,<none>
P02,noint,117,There is a cup on the kitchen table.,I am picking up a cup.,<none>
P02,noint,118,There are many ingredients in the kitchen cabinet.,I take something out of my shopping bag and put it in the kitchen cabinet.,<none>
P02,noint,119,The kitchen light is on.,I am turning on the light switch.,<none>
P02,noint,120,There is a shopping bag on the kitchen floor.,I walk looking at a shopping bag.,<none>
P02,noint,121,The refrigerator is full.,I am opening the refrigerator door.,<none>
P02,noint,122,There is a shopping bag on the kitchen floor.,I lift the shopping bag and put it on the sink table.,<none>
P02,noint,123,The sun is shining through the living room window.,I am hanging around the house.,<none>
P02,noint,124,There are many things on the sink table.,I am looking at the sink table.,<none>
P02,noint,125,Water is coming out of the sink faucet.,I am washing my hands.,<none>
P02,noint,126,The range hood is lit.,I am turning on the range hood.,<none>
P02,noint,127,The iPad is turned on.,I am turning on the iPad and searching for something.,<none>
P02,noint,128,There are things on the kitchen table.,I am taking something out of a small box.,<none>
P02,noint,129,The refrigerator is full.,I am putting a bottle of water in the refrigerator.,<none>
P02,noint,130,Pots are in the sink.,I open and shut the kitchen cabinet door.,<none>
P02,noint,131,There is an electric rice cooker on the kitchen table.,I am pressing the button on the electric rice cooker.,<none>
P02,noint,132,An iPad is on the kitchen table.,I am arranging the ingredients for the food on the table.,<none>
P02,noint,133,There are two containers in the kitchen cabinet.,I am taking the courage out of the kitchen cabinet.,<none>
P02,noint,134,The iPad screen is on.,I am touching the iPad screen.,<none>
P02,noint,135,The sink drawer contains a dishwasher.,I am looking for a ladle.,<none>
P02,noint,136,The iPad is on the kitchen table.,I am opening a box of paper.,<none>
P02,noint,137,The iPad is on.,I am touching the iPad.,<none>
P02,noint,138,The flour box is on the table.,I am putting a cup in a paper box.,<none>
P02,noint,139,Water is coming out of the sink faucet.,I am washing my hands.,<none>
P02,noint,140,I have a towel hanging in front of me.,I am touching the other hand with one hand.,<none>
P02,noint,141,A bag of flour has been placed on the kitchen table.,I am taking a spoon out of the bag of flour.,<none>
P02,noint,142,There is a plastic container on the sink.,I am pouring the flour into a plastic container.,<none>
P02,noint,143,A bag of flour is placed on the kitchen table.,I am arranging the bags of flour.,<none>
P02,noint,144,The kitchen cabinet is stocked with marinas.,I am putting a bag of flour in the cabinet.,<none>
P02,noint,145,The glove is hanging on the drawer handle.,I am touching the other hand with one hand.,<none>
P02,noint,146,There is nothing in the sink.,I am pouring flour into a cup.,<none>
P02,noint,147,There is a plastic container with flour on the table.,I am touching the other hand with one hand.,<none>
P02,noint,148,The measuring cup contains flour.,I lift the measuring cup and put it out.,<none>
P02,noint,149,There is a plastic container with flour on the kitchen table.,I am putting the lid on the plastic bin.,<none>
P02,noint,150,There is an iPad on the table.,I am looking at the iPad.,<none>
P02,noint,151,There is a plastic bucket on the kitchen table.,I am pouring the flour into the barrel.,<none>
P02,noint,152,There is a plastic bucket on the kitchen table.,I am choosing a measuring spoon.,<none>
P02,noint,153,There is a plastic bucket on the kitchen table.,I am spooning something into the barrel.,<none>
P02,noint,154,There is a plastic bucket on the kitchen table.,I am spooning something into the barrel.,<none>
P02,noint,155,The bowl on the kitchen table contains flour.,I am putting sugar in a scoop with a small spoon.,<none>
P02,noint,156,The refrigerator is full of food ingredients.,I am taking something out of  the refrigerator.,<none>
P02,noint,157,The iPad is on the kitchen table.,I am touching the iPad.,<none>
P02,noint,158,There is a plastic  bucket on the kitchen table.,I have chocolate powder in a measuring cup.,<none>
P02,noint,159,The iPad is on the kitchen table.,I am searching for something using the iPad.,<none>
P02,noint,160,The iPad is on the kitchen table.,I am cutting the bag with scissors.,<none>
P02,noint,161,There is a bucket on the kitchen table.,I am putting a bunch of chocolate in a barrel.,<none>
P02,noint,162,The sun is shining from the window in my room.,I go to my room with my smartphone.,<none>
P02,noint,163,The iPad is on the kitchen table.,I am using an iPad.,<none>
P02,noint,164,The barrel is filled with powder.,I am mixing the contents of the barrel.,<none>
P02,noint,165,The sun is shining through the living room window.,I am lifting the barrel.,<none>
P02,noint,166,There is a barrel in the kitchen cabinet.,I am taking a barrel out of the cabinet.,<none>
P02,noint,167,The iPad is on the kitchen table.,I am looking at something using the iPad.,<none>
P02,noint,168,The cabinet is lined with condiments.,I take the sugar out of the cupboard and put the chocolate in the refrigerator.,<none>
P02,noint,169,The iPad is sitting on the kitchen table.,I am touching the iPad.,<none>
P02,noint,170,There is nothing in the kitchen sink.,I am cutting the bag with scissors.,<none>
P02,noint,171,There are many things on the sink table.,I am pouring sugar into a measuring cup.,<none>
P02,noint,172,The sun is shining through the living room window.,I am going to the living room with a measuring cup.,<none>
P02,noint,173,There is a can on the kitchen table.,I am pouring the sugar from the measuring cup into the bowl.,<none>
P02,noint,174,The kitchen cabinet contains a variety of food ingredients.,I am putting a bag of sugar in the cupboard.,<none>
P02,noint,175,The iPad is on the kitchen table.,I am touching the iPad.,<none>
P02,noint,176,There are many cooking utensils on the kitchen table.,I am putting chocolate powder in a measuring cup.,<none>
P02,noint,177,There is a plastic bag on the sink table.,I am putting the powder in the measuring cup back in the bag.,<none>
P02,noint,178,There is a plastic bag on the sink table.,I am putting the powder in the measuring cup back in the bag.,<none>
P02,noint,179,The measuring cup contains chocolate powder.,I lift the measuring cup and pour the powder into the bowl.,<none>
P02,noint,180,There are many tools on the sink table.,I am locking the plastic wrap.,<none>
P02,noint,181,The ingredients are arranged in the kitchen cabinet.,I am putting a can of flour in the cabinet.,<none>
P02,noint,182,The iPad is on the table.,I am looking at something using the iPad.,<none>
P02,noint,183,The iPad is on the table.,I am looking at the iPad.,<none>
P02,noint,184,The ingredients are arranged in the kitchen cabinet.,I am putting the bag in the cabinet.,<none>
P02,noint,185,There is a bucket on the table.,I am pouring milk into the can.,<none>
P02,noint,186,There is a bucket on the table.,I am stirring things in the barrel.,<none>
P02,noint,187,The iPad screen is on.,I am stirring the contents of the barrel and adding milk.,<none>
P02,noint,188,The iPad is on the kitchen table.,I am touching the iPad.,<none>
P02,noint,189,The iPad is on the kitchen table.,I am opening the lid of the bottle.,<none>
P02,noint,190,The iPad is on the kitchen table.,I am touching the iPad.,<none>
P02,noint,191,A man is cooking in the kitchen.,I hold a man's arm.,<none>
P02,noint,192,There is something in the barrel.,I am adding seasonings using a measuring spoon.,<none>
P02,noint,193,There are a variety of condiments in the kitchen cabinet.,I am taking a small bottle out of the cabinet.,<none>
P02,noint,194,There are two cans on the kitchen table.,I am pouring flour into the barrel.,<none>
P02,noint,195,There is a measuring cup on the kitchen table.,I am putting something in the measuring cup.,<none>
P02,noint,196,A man is helping with the dish.,I am cooking.,<none>
P02,noint,198,Someone is helping with the cooking.,I am looking at the iPad and putting something in the bin.,<none>
P02,noint,199,There are two iron plates on the kitchen table.,I am opening the box.,<none>
P02,noint,200,There are two iron plates on the kitchen table.,I take a stick out of the box.,<none>
P02,noint,201,There are two iron plates on the kitchen table.,I am putting oil paper on the steel plate.,<none>
P02,noint,202,A small box is laid on the kitchen table.,I am wrapping the oil paper and putting it in the box.,<none>
P02,noint,203,There is an iron plate on the kitchen table.,I am comparing the size of the oil paper against the steel plate.,<none>
P02,noint,204,Oil paper is spread out on the table.,I am cutting the paper with scissors.,<none>
P02,noint,205,There is an iron plate on the kitchen table.,I am folding the paper to the size of an iron plate.,<none>
P02,noint,206,Oil paper is placed on the steel plate.,I am cutting the paper with scissors.,<none>
P02,noint,207,There are two iron plates on the kitchen table.,I cover the steel sheet with oil paper.,<none>
P02,noint,208,There is an iron plate next to the gas stove.,I am tearing oil paper.,<none>
P02,noint,209,There is a paper bag in the box.,I am looking at the box.,<none>
P02,noint,210,There is a sheet of iron oil on the kitchen table.,I am covering the iron plate with oil paper.,<none>
P02,noint,211,Boxes are arranged in the kitchen drawer.,I am putting an oil paper box in a drawer.,<none>
P02,noint,212,There are many plastic containers in the kitchen cabinet.,I am putting the cooking utensils in the cabinet.,<none>
P02,noint,213,Water is coming out of the sink faucet.,I am washing scissors.,<none>
P02,noint,214,My friend is cooking.,I am looking at the man next to me.,<none>
P02,noint,215,The freezer in the kitchen contains only food ingredients.,I am tying up the bag with a rubber band and putting it in the freezer.,<none>
P02,noint,216,There are two iron plates and paper on the kitchen table.,I am arranging the oil paper on the steel plate.,<none>
P02,noint,217,There is a large barrel on the table in front of me.,I am tearing oil paper.,<none>
P02,noint,218,There is a large barrel on the table in front of me.,I am putting oil paper on the barrel.,<none>
P02,noint,219,A man is mixing the contents of a container.,I am watching a man holding a spoon.,<none>
P02,noint,220,The iPad is on the kitchen table.,I am looking at something on my iPad.,<none>
P02,noint,221,A measuring cup is on the kitchen table.,I am pouring some spice into the measuring cup.,<none>
P02,noint,222,A measuring cup with sauce is placed on the table.,I am pouring the sauce from the measuring cup into the can.,<none>
P02,noint,223,There is a bowl in the sink.,I am putting a cup and a can in the sink.,<none>
P02,noint,224,A man is in the kitchen.,I throw away a small barrel in a paper bag hanging on the door handle.,<none>
P02,noint,225,The iron plate is covered with paper.,I am moving an oiled iron plate.,<none>
P02,noint,226,A man is mixing the contents of the barrel with a knife.,I am seeing a man mixing up the contents.,<none>
P02,noint,227,A container of contents was laid on the kitchen table.,I am using a spoon to mix the contents of the barrel.,<none>
P02,noint,228,The iron plate is covered with paper.,I am putting the dough together and putting one on the paper.,<none>
P02,noint,229,A container with contents was laid on the kitchen table.,I am using a spoon to mix the contents of the barrel.,<none>
P02,noint,230,The iron plate is covered with paper.,I am putting the dough together and putting one on the paper.,<none>
P02,noint,231,The iron plate is lined with paper and cookie dough.,I am moving an iron plate with cookie dough.,<none>
P02,noint,232,The iron plate is covered with paper.,I am moving an empty sheet of iron.,<none>
P02,noint,233,The iron plate is covered with paper.,I am mixing the dough with a spoon and knife.,<none>
P02,noint,234,The iron plate is covered with paper.,I am putting the dough together and putting one on the paper.,<none>
P02,noint,235,There are dough balls on a sheet of paper.,I am putting more dough on the dough.,<none>
P02,noint,236,The iPad is on the kitchen table.,I check something with my iPad.,<none>
P02,noint,237,The iron plate is lined with paper and cookie dough.,I am moving an iron plate with cookie dough.,<none>
P02,noint,238,The iron plate is covered with paper.,I am putting the dough together and putting one on the paper.,<none>
P02,noint,239,There is a little dough in the barrel.,I am using a spoon to mix the rest of the dough.,<none>
P02,noint,240,The iPad is on the kitchen table.,I check something with my iPad.,<none>
P02,noint,241,Water is coming out of the sink faucet.,I am washing my hands.,<none>
P02,noint,242,Paper and cookie dough are placed on the steel plate.,I am mending the dough.,<none>
P02,noint,243,There is an oven under the gas stove.,I am putting a cast iron plate in the oven.,<none>
P02,noint,244,Paper and cookie dough are placed on the steel plate.,I am mending the dough.,<none>
P02,noint,245,There is an iron plate on the kitchen table with cookie dough.,I am looking for something.,<none>
P02,noint,246,The oven is off.,I am putting a cast iron plate in the oven.,<none>
P02,noint,247,Water is coming out of the sink faucet.,I am washing my hands.,<none>
P02,noint,248,There is a little dough in the barrel.,I am using a spoon to mix the rest of the dough.,<none>
P02,noint,249,There are small boxes in the kitchen sink drawer.,I am tearing up the paper.,<none>
P02,noint,250,There are dishes in the sink cabinet.,I am looking for something in the sink.,<none>
P02,noint,251,A paper shopping bag is hanging on the doorknob.,I am putting the milk carton in a paper bag hanging on the doorknob.,<none>
P02,noint,252,The gas stove is off.,I walk in front of the gas stove.,<none>
P02,noint,253,There is a clock hanging on the wall.,I am looking at my watch.,<none>
P02,noint,254,Sunlight is coming in through the window.,I am walking around the living room and kitchen.,<none>
P02,noint,255,Sunlight is coming in through the window.,I am walking to the living room with my iPad.,<none>
P02,noint,256,The iPad is on.,I am using an iPad.,<none>
P02,noint,257,The light in the kitchen is on.,I am walking to the kitchen and checking the oven.,<none>
P02,noint,258,The towel is wrapped in the oven handle.,I am holding the towel on the oven handle.,<none>
P02,noint,259,Sunlight is coming in through the window.,I go from the kitchen to the living room.,<none>
P02,noint,260,There is something in the barrel I am holding.,I am going to the kitchen with a barrel containing something.,<none>
P02,noint,261,There is a trash can next to the kitchen refrigerator.,I am throwing the cookies in the bin into the wastebasket.,<none>
P02,noint,262,The light in the kitchen is on.,I am going from the living room to the kitchen with a plastic container.,<none>
P02,noint,263,Plastic bins are arranged in the kitchen cabinet.,I am opening the kitchen cabinet and taking out a plastic container.,<none>
P02,noint,264,The kitchen sink is filled with barrels.,I wash the plastic tub.,<none>
P02,noint,265,The oven is on.,I am looking in the oven.,<none>
P02,noint,266,The refrigerator is full.,I am taking a bowl of something out of the refrigerator.,<none>
P02,noint,267,There is nothing in the sink.,I am peeling off the plastic wrap on the plate and throwing away the contents.,<none>
P02,noint,268,The refrigerator is full.,I am closing the refrigerator door.,<none>
P02,noint,269,The refrigerator is full of many things.,I look in the refrigerator and turn my head.,<none>
P02,noint,270,The rice cooker is steaming.,I am moving the position of the electric rice cooker.,<none>
P02,noint,271,The coffee pot is on the table.,I am pouring water into the coffee pot.,<none>
P02,noint,272,There is an outlet just behind the coffee pot.,I am plugging in a coffee pot wire.,<none>
P02,noint,273,Water is coming out of the sink faucet.,I am puring water in the bucket.,<none>
P02,noint,274,There are baked cookies in the oven.,I open the oven.,<none>
P02,noint,275,There are three iron plates with cookies in the oven.,I am turning an iron plate with cookies on it.,<none>
P02,noint,276,There is an electric rice cooker on the kitchen table.,I am pushing the electric rice cooker in.,<none>
P02,noint,277,There are many food ingredients in the refrigerator.,I am putting the can in the refrigerator and taking out another barrel.,<none>
P02,noint,278,There are trash in the wastebasket.,I am throwing away the contents of the bin in the wastebasket.,<none>
P02,noint,279,There is vegetables in the refrigerator drawer.,I am taking onions out of the refrigerator.,<none>
P02,noint,280,There are onions next to the sink.,I am taking a cutting board out of the drawer in the sink.,<none>
P02,noint,281,Water is coming out of the sink faucet.,I am washing the lid of the barrel with water.,<none>
P02,noint,282,Water comes out of the sink faucet.,I lift tofu products and wash them with water.,<none>
P02,noint,283,There are cutting boards and knives on the kitchen table.,I am wandering around.,<none>
P02,noint,284,There are tofu products on the kitchen table.,I am cutting the vinyl with a knife.,<none>
P02,noint,285,There is a plate in the sink.,I am throwing water from the product into the sink.,<none>
P02,noint,286,The food is on the kitchen table.,I am peeling the product with my hands.,<none>
P02,noint,287,The tofu is in the barrel.,I am cutting tofu in half with a knife.,<none>
P02,noint,288,The tofu is in the barrel.,I am taking tofu out of the bin.,<none>
P02,noint,289,There is a glass container next to the sink.,I am putting half the tofu in a glass jar.,<none>
P02,noint,290,The refrigerator is full.,I am opening the refrigerator door.,<none>
P02,noint,291,There is tofu in a small glass container.,I am pouring water into a can of tofu.,<none>
P02,noint,292,There are things in the refrigerator.,I am putting the lid on the tin in the fridge.,<none>
P02,noint,293,There is a trash can in front of me.,I am putting the contents of the bin in the trash.,<none>
P02,noint,294,Water is coming out of the sink faucet.,I am wiping the bowl with water.,<none>
P02,noint,295,There is nothing in the oven.,I open the lid of the oven and look inside.,<none>
P02,noint,296,There are tofu and a knife on the cutting board.,I am cutting tofu with a knife.,<none>
P02,noint,297,Water is coming out of the sink faucet.,I am washing the mushrooms in the can.,<none>
P02,noint,298,There are cutting boards and knives on the kitchen table.,I am putting the mushrooms on the cutting board.,<none>
P02,noint,299,There are many things around the kitchen sink.,I am putting the lid on the plastic bin.,<none>
